Time,Indicator,Employment_Status,Indicator_Status,Location,Amount,Unemployment_Rate
2018,Unemployment By Gender,,Male,"Baltimore County, Maryland",5.1,0.051
2016,Employment Status By Disability Status,Unemployed,Disabled,"Baltimore County, Maryland",2897,
2015,Employment Status By Disability Status,Unemployed,Disabled,"Baltimore County, Maryland",3289,
2018,Employment Status By Disability Status,Unemployed,Disabled,"Baltimore County, Maryland",2994,
2019,Employment Status By Disability Status,Unemployed,Disabled,"Baltimore County, Maryland",2953,
2017,Employment Status By Disability Status,Unemployed,Disabled,"Baltimore County, Maryland",2684,
2015,Unemployment By Race,,Hispanic,"Baltimore County, Maryland",9.5,0.095
2016,Unemployment By Race,,Hispanic,"Baltimore County, Maryland",7.9,0.079
2017,Unemployment By Race,,Hispanic,"Baltimore County, Maryland",6.8,0.068
2018,Unemployment By Race,,Hispanic,"Baltimore County, Maryland",4.8,0.048
2019,Unemployment By Race,,Hispanic,"Baltimore County, Maryland",4,0.04
2017,Unemployment By Gender,,Female,"Baltimore County, Maryland",5,0.05
2015,Unemployment By Gender,,Female,"Baltimore County, Maryland",6,0.06
2018,Unemployment By Gender,,Female,"Baltimore County, Maryland",4.8,0.048
2016,Unemployment By Gender,,Female,"Baltimore County, Maryland",5.3,0.053
2019,Unemployment By Gender,,Female,"Baltimore County, Maryland",4.4,0.044
2016,Employment Status By Disability Status,Unemployed,Non Disabled,"Baltimore County, Maryland",21496,
2015,Employment Status By Disability Status,Unemployed,Non Disabled,"Baltimore County, Maryland",24648,
2017,Employment Status By Disability Status,Unemployed,Non Disabled,"Baltimore County, Maryland",19808,
2018,Employment Status By Disability Status,Unemployed,Non Disabled,"Baltimore County, Maryland",18351,
2015,Employment Status By Disability Status,Employed,Non Disabled,"Baltimore County, Maryland",367167,
2019,Employment Status By Disability Status,Unemployed,Non Disabled,"Baltimore County, Maryland",16554,
2016,Employment Status By Disability Status,Employed,Non Disabled,"Baltimore County, Maryland",369663,
2017,Employment Status By Disability Status,Employed,Non Disabled,"Baltimore County, Maryland",372431,
2018,Employment Status By Disability Status,Employed,Non Disabled,"Baltimore County, Maryland",368955,
2019,Employment Status By Disability Status,Employed,Non Disabled,"Baltimore County, Maryland",371027,
2016,Employment Status By Education,Employed,Bachelor's or Higher,"Baltimore County, Maryland",149341,
2015,Employment Status By Education,Employed,Bachelor's or Higher,"Baltimore County, Maryland",146502,
2017,Employment Status By Education,Employed,Bachelor's or Higher,"Baltimore County, Maryland",151517,
2018,Employment Status By Education,Employed,Bachelor's or Higher,"Baltimore County, Maryland",153796,
2019,Employment Status By Education,Employed,Bachelor's or Higher,"Baltimore County, Maryland",156427,
2016,Employment Status By Education,Unemployed,Bachelor's or Higher,"Baltimore County, Maryland",4266,
2017,Employment Status By Education,Unemployed,Bachelor's or Higher,"Baltimore County, Maryland",3948,
2015,Employment Status By Education,Unemployed,Bachelor's or Higher,"Baltimore County, Maryland",4385,
2018,Employment Status By Education,Unemployed,Bachelor's or Higher,"Baltimore County, Maryland",4061,
2019,Employment Status By Education,Unemployed,Bachelor's or Higher,"Baltimore County, Maryland",3947,
2018,Employment Status By Education,NIL,Bachelor's or Higher,"Baltimore County, Maryland",19454,
2019,Employment Status By Education,NIL,Bachelor's or Higher,"Baltimore County, Maryland",19102,
2015,Employment Status By Education,NIL,Bachelor's or Higher,"Baltimore County, Maryland",18784,
2015,Employment Status By Education,Employed,Highschool,"Baltimore County, Maryland",78964,
2016,Employment Status By Education,Employed,Highschool,"Baltimore County, Maryland",80452,
2016,Employment Status By Education,NIL,Bachelor's or Higher,"Baltimore County, Maryland",19237,
2017,Employment Status By Education,NIL,Bachelor's or Higher,"Baltimore County, Maryland",19127,
2019,Employment Status By Education,Employed,Highschool,"Baltimore County, Maryland",77534,
2015,Employment Status By Education,Unemployed,Highschool,"Baltimore County, Maryland",7638,
2016,Employment Status By Education,Unemployed,Highschool,"Baltimore County, Maryland",6370,
2017,Employment Status By Education,Unemployed,Highschool,"Baltimore County, Maryland",5489,
2016,Employment Status By Education,NIL,Highschool,"Baltimore County, Maryland",25317,
2019,Employment Status By Education,Unemployed,Highschool,"Baltimore County, Maryland",4345,
2015,Employment Status By Education,NIL,Highschool,"Baltimore County, Maryland",25384,
2017,Employment Status By Education,NIL,Highschool,"Baltimore County, Maryland",25082,
2018,Employment Status By Education,NIL,Highschool,"Baltimore County, Maryland",24938,
2015,Employment Status By Poverty Status,Employed,Below Poverty,"Baltimore County, Maryland",17370,
2017,Employment Status By Education,Employed,Highschool,"Baltimore County, Maryland",79514,
2019,Employment Status By Education,NIL,Highschool,"Baltimore County, Maryland",24103,
2018,Employment Status By Education,Employed,Highschool,"Baltimore County, Maryland",78376,
2016,Employment Status By Poverty Status,Employed,Below Poverty,"Baltimore County, Maryland",17774,
2017,Employment Status By Poverty Status,Employed,Below Poverty,"Baltimore County, Maryland",17841,
2018,Employment Status By Poverty Status,Employed,Below Poverty,"Baltimore County, Maryland",17957,
2019,Employment Status By Poverty Status,Employed,Below Poverty,"Baltimore County, Maryland",17870,
2015,Employment Status By Poverty Status,Unemployed,Below Poverty,"Baltimore County, Maryland",7390,
2016,Employment Status By Poverty Status,Unemployed,Below Poverty,"Baltimore County, Maryland",6093,
2017,Employment Status By Poverty Status,Unemployed,Below Poverty,"Baltimore County, Maryland",5357,
2018,Employment Status By Education,Unemployed,Highschool,"Baltimore County, Maryland",4889,
2018,Employment Status By Poverty Status,Unemployed,Below Poverty,"Baltimore County, Maryland",5369,
2019,Employment Status By Poverty Status,Unemployed,Below Poverty,"Baltimore County, Maryland",4802,
2015,Employment Status By Disability Status,Employed,Disabled,"Baltimore County, Maryland",17502,
2016,Employment Status By Disability Status,Employed,Disabled,"Baltimore County, Maryland",17833,
2018,Employment Status By Disability Status,Employed,Disabled,"Baltimore County, Maryland",18233,
2019,Employment Status By Disability Status,Employed,Disabled,"Baltimore County, Maryland",18307,
2015,Employment Status By Education,Employed,Less than Highschool,"Baltimore County, Maryland",17535,
2016,Employment Status By Education,Employed,Less than Highschool,"Baltimore County, Maryland",17361,
2017,Employment Status By Education,Employed,Less than Highschool,"Baltimore County, Maryland",17735,
2018,Employment Status By Education,Employed,Less than Highschool,"Baltimore County, Maryland",18164,
2017,Employment Status By Disability Status,Employed,Disabled,"Baltimore County, Maryland",18014,
2019,Employment Status By Education,Employed,Less than Highschool,"Baltimore County, Maryland",17428,
2015,Employment Status By Education,Unemployed,Less than Highschool,"Baltimore County, Maryland",2937,
2016,Employment Status By Education,Unemployed,Less than Highschool,"Baltimore County, Maryland",2460,
2017,Employment Status By Education,Unemployed,Less than Highschool,"Baltimore County, Maryland",2394,
2018,Employment Status By Education,Unemployed,Less than Highschool,"Baltimore County, Maryland",1973,
2019,Employment Status By Education,Unemployed,Less than Highschool,"Baltimore County, Maryland",1644,
2015,Employment Status By Education,NIL,Less than Highschool,"Baltimore County, Maryland",11591,
2016,Employment Status By Education,NIL,Less than Highschool,"Baltimore County, Maryland",11719,
2017,Employment Status By Education,NIL,Less than Highschool,"Baltimore County, Maryland",12009,
2018,Employment Status By Education,NIL,Less than Highschool,"Baltimore County, Maryland",12105,
2016,Unemployment By Veteran Status,,Non Veteran,"Baltimore County, Maryland",6,0.06
2015,Unemployment By Veteran Status,,Non Veteran,"Baltimore County, Maryland",6.9,0.069
2017,Unemployment By Veteran Status,,Non Veteran,"Baltimore County, Maryland",5.5,0.055
2019,Employment Status By Education,NIL,Less than Highschool,"Baltimore County, Maryland",11784,
2018,Unemployment By Veteran Status,,Non Veteran,"Baltimore County, Maryland",5.3,0.053
2019,Unemployment By Veteran Status,,Non Veteran,"Baltimore County, Maryland",4.9,0.049
2015,Unemployment By Veteran Status,,Veteran,"Baltimore County, Maryland",5,0.05
2017,Unemployment By Veteran Status,,Veteran,"Baltimore County, Maryland",3.7,0.037
2016,Unemployment By Veteran Status,,Veteran,"Baltimore County, Maryland",4.4,0.044
2018,Unemployment By Veteran Status,,Veteran,"Baltimore County, Maryland",3,0.03
2019,Unemployment By Veteran Status,,Veteran,"Baltimore County, Maryland",2.5,0.025
2015,Employment Status By Education,Employed,Some College,"Baltimore County, Maryland",96415,
2016,Employment Status By Education,Employed,Some College,"Baltimore County, Maryland",95194,
2017,Employment Status By Education,Employed,Some College,"Baltimore County, Maryland",96513,
2018,Employment Status By Education,Employed,Some College,"Baltimore County, Maryland",93089,
2015,Employment Status By Education,Unemployed,Some College,"Baltimore County, Maryland",5746,
2019,Employment Status By Education,Employed,Some College,"Baltimore County, Maryland",93645,
2016,Employment Status By Education,Unemployed,Some College,"Baltimore County, Maryland",5007,
2017,Employment Status By Education,Unemployed,Some College,"Baltimore County, Maryland",4565,
2018,Employment Status By Education,Unemployed,Some College,"Baltimore County, Maryland",4670,
2015,Employment Status By Education,NIL,Some College,"Baltimore County, Maryland",21695,
2016,Employment Status By Education,NIL,Some College,"Baltimore County, Maryland",21502,
2019,Employment Status By Education,Unemployed,Some College,"Baltimore County, Maryland",4155,
2017,Employment Status By Education,NIL,Some College,"Baltimore County, Maryland",21567,
2018,Employment Status By Education,NIL,Some College,"Baltimore County, Maryland",21822,
2016,Unemployment By Race,,Asian,"Baltimore County, Maryland",4.8,0.048
2015,Unemployment By Race,,Asian,"Baltimore County, Maryland",5.1,0.051
2019,Employment Status By Education,NIL,Some College,"Baltimore County, Maryland",21478,
2017,Unemployment By Race,,Asian,"Baltimore County, Maryland",4.1,0.041
2018,Unemployment By Race,,Asian,"Baltimore County, Maryland",4.3,0.043
2019,Unemployment By Race,,Asian,"Baltimore County, Maryland",4.3,0.043
2015,Unemployment By Race,,White,"Baltimore County, Maryland",5.9,0.059
2016,Unemployment By Race,,White,"Baltimore County, Maryland",5.2,0.052
2017,Unemployment By Race,,White,"Baltimore County, Maryland",4.8,0.048
2018,Unemployment By Race,,White,"Baltimore County, Maryland",4.5,0.045
2019,Unemployment By Race,,White,"Baltimore County, Maryland",4.2,0.042
2015,Unemployment By Race,,Black,"Baltimore County, Maryland",9.2,0.092
2017,Unemployment By Race,,Black,"Baltimore County, Maryland",7,0.07
2016,Unemployment By Race,,Black,"Baltimore County, Maryland",7.6,0.076
2018,Unemployment By Race,,Black,"Baltimore County, Maryland",6.6,0.066
2019,Unemployment By Race,,Black,"Baltimore County, Maryland",5.9,0.059
2015Q3,TANF Workers,,,"Calvert County, Maryland",31,
2015Q4,TANF Workers,,,"Calvert County, Maryland",27,
2015Q3,Percent of Workers in TANF (%),,,"Calvert County, Maryland",0.137888088,0.001378881
2015Q4,Percent of Workers in TANF (%),,,"Calvert County, Maryland",0.120745942,0.001207459
2016Q1,TANF Workers,,,"Calvert County, Maryland",21,
2016Q2,TANF Workers,,,"Calvert County, Maryland",27,
2016Q3,TANF Workers,,,"Calvert County, Maryland",18,
2016Q4,TANF Workers,,,"Calvert County, Maryland",20,
2016Q1,Percent of Workers in TANF (%),,,"Calvert County, Maryland",0.095432856,0.000954329
2016Q2,Percent of Workers in TANF (%),,,"Calvert County, Maryland",0.117734269,0.001177343
2016Q3,Percent of Workers in TANF (%),,,"Calvert County, Maryland",0.076651194,0.000766512
2016Q4,Percent of Workers in TANF (%),,,"Calvert County, Maryland",0.085711837,0.000857118
2017Q1,TANF Workers,,,"Calvert County, Maryland",19,
2017Q2,TANF Workers,,,"Calvert County, Maryland",24,
2017Q3,TANF Workers,,,"Calvert County, Maryland",27,
2017Q4,TANF Workers,,,"Calvert County, Maryland",25,
2017Q1,Percent of Workers in TANF (%),,,"Calvert County, Maryland",0.080057304,0.000800573
2017Q2,Percent of Workers in TANF (%),,,"Calvert County, Maryland",0.099539629,0.000995396
2017Q3,Percent of Workers in TANF (%),,,"Calvert County, Maryland",0.113579001,0.00113579
2017Q4,Percent of Workers in TANF (%),,,"Calvert County, Maryland",0.108979948,0.001089799
2018Q1,TANF Workers,,,"Calvert County, Maryland",16,
2018Q2,TANF Workers,,,"Calvert County, Maryland",14,
2018Q3,TANF Workers,,,"Calvert County, Maryland",12,
2018Q4,TANF Workers,,,"Calvert County, Maryland",19,
2018Q1,Percent of Workers in TANF (%),,,"Calvert County, Maryland",0.073957659,0.000739577
2018Q2,Percent of Workers in TANF (%),,,"Calvert County, Maryland",0.063523753,0.000635238
2018Q3,Percent of Workers in TANF (%),,,"Calvert County, Maryland",0.054419301,0.000544193
2018Q4,Percent of Workers in TANF (%),,,"Calvert County, Maryland",0.087235996,0.00087236
2019Q1,TANF Workers,,,"Calvert County, Maryland",15,
2019Q2,TANF Workers,,,"Calvert County, Maryland",10,
2019Q1,Percent of Workers in TANF (%),,,"Calvert County, Maryland",0.071106897,0.000711069
2019Q2,Percent of Workers in TANF (%),,,"Calvert County, Maryland",0.046781437,0.000467814
2016Q3,TANF Participants in Workforce Service ,,,"Calvert County, Maryland",10,
2016Q4,TANF Participants in Workforce Service ,,,"Calvert County, Maryland",3,
2016Q3,Percent of Workforce Service participants in TANF (%),,,"Calvert County, Maryland",5.18134715,0.051813472
2016Q4,Percent of Workforce Service participants in TANF (%),,,"Calvert County, Maryland",1.639344262,0.016393443
2017Q4,TANF Participants in Workforce Service ,,,"Calvert County, Maryland",1,
2017Q4,Percent of Workforce Service participants in TANF (%),,,"Calvert County, Maryland",0.826446281,0.008264463
2017,SNAP Recipient Workers,,,"Calvert County, Maryland",2895,
2018,SNAP Recipient Workers,,,"Calvert County, Maryland",2443,
2019,SNAP Recipient Workers,,,"Calvert County, Maryland",2474,
2020,SNAP Recipient Workers,,,"Calvert County, Maryland",2318,
2017,SNAP Recipient Workers by Percentage,,,"Calvert County, Maryland",0.01136,1.1362
2018,SNAP Recipient Workers by Percentage,,,"Calvert County, Maryland",0.01024,1.0244
2019,SNAP Recipient Workers by Percentage,,,"Calvert County, Maryland",0.01029,1.0287
2020,SNAP Recipient Workers by Percentage,,,"Calvert County, Maryland",0.01007,1.0069
2015,Employment Status By Disability Status,Labor Force,Disabled,"Calvert County, Maryland",2261,
2016,Employment Status By Disability Status,Labor Force,Disabled,"Calvert County, Maryland",2633,
2017,Employment Status By Disability Status,Labor Force,Disabled,"Calvert County, Maryland",2558,
2018,Employment Status By Disability Status,Labor Force,Disabled,"Calvert County, Maryland",2757,
2019,Employment Status By Disability Status,Labor Force,Disabled,"Calvert County, Maryland",2512,
2015,Employment Status By Disability Status,Labor Force,Non Disabled,"Calvert County, Maryland",43577,
2016,Employment Status By Disability Status,Labor Force,Non Disabled,"Calvert County, Maryland",43330,
2017,Employment Status By Disability Status,Labor Force,Non Disabled,"Calvert County, Maryland",43733,
2018,Employment Status By Disability Status,Labor Force,Non Disabled,"Calvert County, Maryland",43595,
2019,Employment Status By Disability Status,Labor Force,Non Disabled,"Calvert County, Maryland",43414,
2015,Employment Status By Poverty Status,Labor Force,Below Poverty,"Calvert County, Maryland",1946,
2016,Employment Status By Poverty Status,Labor Force,Below Poverty,"Calvert County, Maryland",2154,
2017,Employment Status By Poverty Status,Labor Force,Below Poverty,"Calvert County, Maryland",1991,
2018,Employment Status By Poverty Status,Labor Force,Below Poverty,"Calvert County, Maryland",1754,
2019,Employment Status By Poverty Status,Labor Force,Below Poverty,"Calvert County, Maryland",1178,
2015,Total Population,,,"Calvert County, Maryland",90114,
2016,Median Household Income,,,"Calvert County, Maryland",96808,
2017,Median Household Income,,,"Calvert County, Maryland",100350,
2019,Median Household Income,,,"Calvert County, Maryland",109313,
2015,Median Household Income,,,"Calvert County, Maryland",95828,
2018,Median Household Income,,,"Calvert County, Maryland",104301,
2016,Total Population,,,"Calvert County, Maryland",90527,
2015,Unemployment By Gender,,Male,"Calvert County, Maryland",6.1,0.061
2016,Unemployment By Gender,,Male,"Calvert County, Maryland",5.9,0.059
2019,Total Population,,,"Calvert County, Maryland",91511,
2018,Total Population,,,"Calvert County, Maryland",91082,
2017,Total Population,,,"Calvert County, Maryland",90824,
2017,Unemployment By Gender,,Male,"Calvert County, Maryland",5.1,0.051
2019,Unemployment By Gender,,Male,"Calvert County, Maryland",3.4,0.034
2018,Unemployment By Gender,,Male,"Calvert County, Maryland",4.9,0.049
2016,Employment Status By Disability Status,Unemployed,Disabled,"Calvert County, Maryland",268,
2015,Employment Status By Disability Status,Unemployed,Disabled,"Calvert County, Maryland",181,
2017,Employment Status By Disability Status,Unemployed,Disabled,"Calvert County, Maryland",214,
2018,Employment Status By Disability Status,Unemployed,Disabled,"Calvert County, Maryland",213,
2015,Unemployment By Race,,Hispanic,"Calvert County, Maryland",6.2,0.062
2017,Unemployment By Race,,Hispanic,"Calvert County, Maryland",8.2,0.082
2016,Unemployment By Race,,Hispanic,"Calvert County, Maryland",11.2,0.112
2018,Unemployment By Race,,Hispanic,"Calvert County, Maryland",9.6,0.096
2019,Employment Status By Disability Status,Unemployed,Disabled,"Calvert County, Maryland",129,
2019,Unemployment By Race,,Hispanic,"Calvert County, Maryland",7.6,0.076
2016,Employment Status By Disability Status,Unemployed,Non Disabled,"Calvert County, Maryland",3116,
2017,Employment Status By Disability Status,Unemployed,Non Disabled,"Calvert County, Maryland",2934,
2015,Unemployment By Gender,,Female,"Calvert County, Maryland",7.3,0.073
2018,Employment Status By Disability Status,Unemployed,Non Disabled,"Calvert County, Maryland",2614,
2019,Employment Status By Disability Status,Unemployed,Non Disabled,"Calvert County, Maryland",1679,
2016,Employment Status By Disability Status,Employed,Non Disabled,"Calvert County, Maryland",40214,
2015,Employment Status By Disability Status,Employed,Non Disabled,"Calvert County, Maryland",40458,
2017,Employment Status By Disability Status,Employed,Non Disabled,"Calvert County, Maryland",40799,
2016,Unemployment By Gender,,Female,"Calvert County, Maryland",8,0.08
2018,Employment Status By Disability Status,Employed,Non Disabled,"Calvert County, Maryland",40981,
2017,Unemployment By Gender,,Female,"Calvert County, Maryland",7.8,0.078
2019,Employment Status By Disability Status,Employed,Non Disabled,"Calvert County, Maryland",41735,
2018,Unemployment By Gender,,Female,"Calvert County, Maryland",7,0.07
2016,Employment Status By Education,Employed,Bachelor's or Higher,"Calvert County, Maryland",12085,
2019,Unemployment By Gender,,Female,"Calvert County, Maryland",4.2,0.042
2015,Employment Status By Education,Employed,Bachelor's or Higher,"Calvert County, Maryland",11982,
2017,Employment Status By Education,Employed,Bachelor's or Higher,"Calvert County, Maryland",12585,
2018,Employment Status By Education,Employed,Bachelor's or Higher,"Calvert County, Maryland",13151,
2015,Employment Status By Education,Unemployed,Bachelor's or Higher,"Calvert County, Maryland",319,
2015,Employment Status By Disability Status,Unemployed,Non Disabled,"Calvert County, Maryland",3119,
2019,Employment Status By Education,Employed,Bachelor's or Higher,"Calvert County, Maryland",13947,
2016,Employment Status By Education,Unemployed,Bachelor's or Higher,"Calvert County, Maryland",325,
2017,Employment Status By Education,Unemployed,Bachelor's or Higher,"Calvert County, Maryland",349,
2019,Employment Status By Education,Unemployed,Bachelor's or Higher,"Calvert County, Maryland",322,
2018,Employment Status By Education,Unemployed,Bachelor's or Higher,"Calvert County, Maryland",315,
2017,Employment Status By Education,NIL,Bachelor's or Higher,"Calvert County, Maryland",1658,
2015,Employment Status By Education,NIL,Bachelor's or Higher,"Calvert County, Maryland",1857,
2016,Employment Status By Education,NIL,Bachelor's or Higher,"Calvert County, Maryland",1759,
2018,Employment Status By Education,NIL,Bachelor's or Higher,"Calvert County, Maryland",1775,
2019,Employment Status By Education,NIL,Bachelor's or Higher,"Calvert County, Maryland",1874,
2015,Employment Status By Education,Employed,Highschool,"Calvert County, Maryland",10866,
2016,Employment Status By Education,Employed,Highschool,"Calvert County, Maryland",10508,
2018,Employment Status By Education,Employed,Highschool,"Calvert County, Maryland",10341,
2017,Employment Status By Education,Employed,Highschool,"Calvert County, Maryland",10622,
2019,Employment Status By Education,Employed,Highschool,"Calvert County, Maryland",10460,
2015,Employment Status By Education,Unemployed,Highschool,"Calvert County, Maryland",878,
2016,Employment Status By Education,Unemployed,Highschool,"Calvert County, Maryland",881,
2018,Employment Status By Education,Unemployed,Highschool,"Calvert County, Maryland",800,
2017,Employment Status By Education,Unemployed,Highschool,"Calvert County, Maryland",835,
2015,Employment Status By Education,NIL,Highschool,"Calvert County, Maryland",3249,
2019,Employment Status By Education,Unemployed,Highschool,"Calvert County, Maryland",491,
2017,Employment Status By Education,NIL,Highschool,"Calvert County, Maryland",3233,
2016,Employment Status By Education,NIL,Highschool,"Calvert County, Maryland",3285,
2018,Employment Status By Education,NIL,Highschool,"Calvert County, Maryland",3076,
2015,Employment Status By Poverty Status,Employed,Below Poverty,"Calvert County, Maryland",939,
2016,Employment Status By Poverty Status,Employed,Below Poverty,"Calvert County, Maryland",1138,
2019,Employment Status By Education,NIL,Highschool,"Calvert County, Maryland",3283,
2018,Employment Status By Poverty Status,Employed,Below Poverty,"Calvert County, Maryland",1074,
2017,Employment Status By Poverty Status,Employed,Below Poverty,"Calvert County, Maryland",1153,
2019,Employment Status By Poverty Status,Employed,Below Poverty,"Calvert County, Maryland",849,
2015,Employment Status By Poverty Status,Unemployed,Below Poverty,"Calvert County, Maryland",1007,
2016,Employment Status By Poverty Status,Unemployed,Below Poverty,"Calvert County, Maryland",1016,
2017,Employment Status By Poverty Status,Unemployed,Below Poverty,"Calvert County, Maryland",838,
2018,Employment Status By Poverty Status,Unemployed,Below Poverty,"Calvert County, Maryland",680,
2019,Employment Status By Poverty Status,Unemployed,Below Poverty,"Calvert County, Maryland",329,
2016,Employment Status By Disability Status,Employed,Disabled,"Calvert County, Maryland",2365,
2017,Employment Status By Disability Status,Employed,Disabled,"Calvert County, Maryland",2344,
2015,Employment Status By Disability Status,Employed,Disabled,"Calvert County, Maryland",2080,
2018,Employment Status By Disability Status,Employed,Disabled,"Calvert County, Maryland",2544,
2019,Employment Status By Disability Status,Employed,Disabled,"Calvert County, Maryland",2383,
2015,Employment Status By Education,Employed,Less than Highschool,"Calvert County, Maryland",1149,
2019,Employment Status By Education,Employed,Less than Highschool,"Calvert County, Maryland",1026,
2017,Employment Status By Education,Employed,Less than Highschool,"Calvert County, Maryland",1127,
2016,Employment Status By Education,Employed,Less than Highschool,"Calvert County, Maryland",1177,
2018,Employment Status By Education,Employed,Less than Highschool,"Calvert County, Maryland",1129,
2015,Employment Status By Education,Unemployed,Less than Highschool,"Calvert County, Maryland",253,
2016,Employment Status By Education,Unemployed,Less than Highschool,"Calvert County, Maryland",267,
2017,Employment Status By Education,Unemployed,Less than Highschool,"Calvert County, Maryland",162,
2018,Employment Status By Education,Unemployed,Less than Highschool,"Calvert County, Maryland",141,
2015,Employment Status By Education,NIL,Less than Highschool,"Calvert County, Maryland",876,
2019,Employment Status By Education,Unemployed,Less than Highschool,"Calvert County, Maryland",49,
2016,Employment Status By Education,NIL,Less than Highschool,"Calvert County, Maryland",871,
2017,Employment Status By Education,NIL,Less than Highschool,"Calvert County, Maryland",732,
2018,Employment Status By Education,NIL,Less than Highschool,"Calvert County, Maryland",803,
2019,Employment Status By Education,NIL,Less than Highschool,"Calvert County, Maryland",673,
2015,Unemployment By Veteran Status,,Non Veteran,"Calvert County, Maryland",7.7,0.077
2016,Unemployment By Veteran Status,,Non Veteran,"Calvert County, Maryland",7.9,0.079
2017,Unemployment By Veteran Status,,Non Veteran,"Calvert County, Maryland",7.3,0.073
2018,Unemployment By Veteran Status,,Non Veteran,"Calvert County, Maryland",6.5,0.065
2019,Unemployment By Veteran Status,,Non Veteran,"Calvert County, Maryland",4.1,0.041
2015,Unemployment By Veteran Status,,Veteran,"Calvert County, Maryland",3.2,0.032
2017,Unemployment By Veteran Status,,Veteran,"Calvert County, Maryland",3,0.03
2016,Unemployment By Veteran Status,,Veteran,"Calvert County, Maryland",2.9,0.029
2018,Unemployment By Veteran Status,,Veteran,"Calvert County, Maryland",2.8,0.028
2019,Unemployment By Veteran Status,,Veteran,"Calvert County, Maryland",2.5,0.025
2015,Employment Status By Education,Employed,Some College,"Calvert County, Maryland",13279,
2017,Employment Status By Education,Employed,Some College,"Calvert County, Maryland",13396,
2018,Employment Status By Education,Employed,Some College,"Calvert County, Maryland",13230,
2016,Employment Status By Education,Employed,Some College,"Calvert County, Maryland",13458,
2019,Employment Status By Education,Employed,Some College,"Calvert County, Maryland",12971,
2015,Employment Status By Education,Unemployed,Some College,"Calvert County, Maryland",861,
2016,Employment Status By Education,Unemployed,Some College,"Calvert County, Maryland",931,
2017,Employment Status By Education,Unemployed,Some College,"Calvert County, Maryland",908,
2018,Employment Status By Education,Unemployed,Some College,"Calvert County, Maryland",782,
2019,Employment Status By Education,Unemployed,Some College,"Calvert County, Maryland",454,
2015,Employment Status By Education,NIL,Some College,"Calvert County, Maryland",2627,
2016,Employment Status By Education,NIL,Some College,"Calvert County, Maryland",2750,
2017,Employment Status By Education,NIL,Some College,"Calvert County, Maryland",2686,
2018,Employment Status By Education,NIL,Some College,"Calvert County, Maryland",2665,
2019,Employment Status By Education,NIL,Some College,"Calvert County, Maryland",2893,
2015,Unemployment By Race,,Asian,"Calvert County, Maryland",3.3,0.033
2016,Unemployment By Race,,Asian,"Calvert County, Maryland",3.9,0.039
2018,Unemployment By Race,,Asian,"Calvert County, Maryland",2.3,0.023
2017,Unemployment By Race,,Asian,"Calvert County, Maryland",2,0.02
2019,Unemployment By Race,,Asian,"Calvert County, Maryland",0,0
2015,Unemployment By Race,,White,"Calvert County, Maryland",6.6,0.066
2016,Unemployment By Race,,White,"Calvert County, Maryland",6.9,0.069
2018,Unemployment By Race,,White,"Calvert County, Maryland",5.5,0.055
2017,Unemployment By Race,,White,"Calvert County, Maryland",6.3,0.063
2019,Unemployment By Race,,White,"Calvert County, Maryland",4,0.04
2015,Unemployment By Race,,Black,"Calvert County, Maryland",14.4,0.144
2016,Unemployment By Race,,Black,"Calvert County, Maryland",13.4,0.134
2017,Unemployment By Race,,Black,"Calvert County, Maryland",13,0.13
2018,Unemployment By Race,,Black,"Calvert County, Maryland",12,0.12
2019,Unemployment By Race,,Black,"Calvert County, Maryland",4.4,0.044
2015Q3,TANF Workers,,,"Caroline County, Maryland",21,
2015Q4,TANF Workers,,,"Caroline County, Maryland",17,
2015Q3,Percent of Workers in TANF (%),,,"Caroline County, Maryland",0.25334781,0.002533478
2015Q4,Percent of Workers in TANF (%),,,"Caroline County, Maryland",0.202188392,0.002021884
2016Q1,TANF Workers,,,"Caroline County, Maryland",12,
2016Q2,TANF Workers,,,"Caroline County, Maryland",20,
2016Q3,TANF Workers,,,"Caroline County, Maryland",18,
2016Q4,TANF Workers,,,"Caroline County, Maryland",10,
2016Q1,Percent of Workers in TANF (%),,,"Caroline County, Maryland",0.147910761,0.001479108
2016Q2,Percent of Workers in TANF (%),,,"Caroline County, Maryland",0.236211173,0.002362112
2016Q3,Percent of Workers in TANF (%),,,"Caroline County, Maryland",0.215285253,0.002152853
2016Q4,Percent of Workers in TANF (%),,,"Caroline County, Maryland",0.118049817,0.001180498
2017Q1,TANF Workers,,,"Caroline County, Maryland",8,
2017Q2,TANF Workers,,,"Caroline County, Maryland",11,
2017Q3,TANF Workers,,,"Caroline County, Maryland",14,
2017Q4,TANF Workers,,,"Caroline County, Maryland",16,
2017Q1,Percent of Workers in TANF (%),,,"Caroline County, Maryland",0.096026888,0.000960269
2017Q2,Percent of Workers in TANF (%),,,"Caroline County, Maryland",0.126976798,0.001269768
2017Q3,Percent of Workers in TANF (%),,,"Caroline County, Maryland",0.161476355,0.001614764
2017Q4,Percent of Workers in TANF (%),,,"Caroline County, Maryland",0.179755084,0.001797551
2018Q1,TANF Workers,,,"Caroline County, Maryland",18,
2018Q2,TANF Workers,,,"Caroline County, Maryland",26,
2018Q3,TANF Workers,,,"Caroline County, Maryland",27,
2018Q4,TANF Workers,,,"Caroline County, Maryland",18,
2018Q1,Percent of Workers in TANF (%),,,"Caroline County, Maryland",0.206587857,0.002065879
